District code,Population,Male,Female,Literate,Households_with_Internet,State,District,Latitude,Longitude,Sex Ratio per 1000 males,Literacy Rate
436,1512681,780520,732161,894612,1382,Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,938.04,59.14
437,1563715,805359,758356,925369,3518,Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,941.64,59.18
438,2185793,1112725,1073068,1077338,2388,Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698,964.36,49.29
439,3276697,1699627,1577070,2309130,48691,Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,927.89,70.47
441,1385881,699340,686541,549926,1158,Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,981.7,39.68
442,1545814,790212,755602,804245,1611,Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,956.2,52.03
443,1458875,769568,689307,862918,1926,Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,895.71,59.15
444,2371061,1236130,1134931,1660690,40788,Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,918.13,70.04
445,1311332,683743,627589,780362,1566,Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,917.87,59.51
446,1331597,700358,631239,820220,1141,Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,901.31,61.6
447,1575362,799236,776126,939769,2109,Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,971.08,59.65
448,570465,294838,275627,352550,986,Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,934.84,61.8
449,1241350,648725,592625,810644,2871,Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,913.52,65.3
450,1292042,662013,630029,790773,2179,Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,951.69,61.2
451,2463289,1277278,1186011,1756468,20443,Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,928.55,71.31
453,704524,351913,352611,378714,554,Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,1001.98,53.75
454,1054905,525272,529633,604962,912,Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753,1008.3,57.35
455,2090922,1064468,1026454,1294198,3588,Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,964.29,61.9
456,1379131,695879,683252,864194,1182,Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,981.85,62.66
457,1701698,842178,859520,1147623,1712,Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,1020.59,67.44
458,1241519,649362,592157,653980,2482,Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,911.91,52.68
459,845071,443837,401234,469109,619,Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134,904.01,55.51
460,1066063,540021,526042,604194,1733,Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442,974.11,56.68
461,749237,379114,370123,436595,1290,Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,976.28,58.27
462,1127033,575912,551121,600785,837,Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,956.95,53.31
464,1025048,515023,510025,352081,744,Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468,990.3,34.35
467,757847,388504,369343,408679,986,Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,950.68,53.93
468,2092371,1096737,995634,1252319,9631,Gujarat,Kachchh,23.48057203301311,68.82192301497916,907.81,59.85
469,3120506,1610379,1510127,1704923,3424,Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,937.75,54.64
470,1343734,694397,649337,837913,2231,Gujarat,Patan,23.80634198473284,71.75162977099237,935.11,62.36
471,2035064,1056520,978544,1502645,7759,Gujarat,Mahesana,23.529355452865065,72.45545194085031,926.2,73.84
472,2428589,1244231,1184358,1578734,5262,Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,951.88,65.01
473,1391753,723864,667889,1030494,12107,Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,922.67,74.04
474,7214225,3788051,3426174,5435760,126341,Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,904.47,75.35
475,1756268,909917,846351,1093626,2975,Gujarat,Surendranagar,22.82672007299272,71.48358740875906,930.14,62.27
476,3804558,1974445,1830113,2725056,21785,Gujarat,Rajkot,22.40603377715488,70.83679439383323,926.9,71.63
477,2160119,1114192,1045927,1396534,11573,Gujarat,Jamnagar,22.410600414263328,69.62062005768233,938.73,64.65
478,585449,300209,285240,393678,1653,Gujarat,Porbandar,21.55092351651571,69.71896987722886,950.14,67.24
479,2743082,1404356,1338726,1842818,6628,Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,953.27,67.18
479,2743082,1404356,1338726,1842818,6628,Gujarat,Junagadh,20.929523011609785,70.54733890140345,953.27,67.18
480,1514190,771049,743141,995459,2538,Gujarat,Amreli,21.04832649310872,71.43457637825426,963.81,65.74
481,2880365,1490201,1390164,1887255,7297,Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,932.87,65.52
482,2092745,1087224,1005521,1551253,9902,Gujarat,Anand,22.282718206229863,72.57782051557454,924.85,74.13
483,2299885,1185727,1114158,1660243,5710,Gujarat,Kheda,22.88765312500002,73.018803515625,939.64,72.19
484,2390776,1226961,1163815,1440805,3456,Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,948.53,60.27
486,4165626,2153736,2011890,2893080,53606,Gujarat,Vadodara,22.26133739279589,73.49433010291594,934.14,69.45
487,590297,301086,289211,370336,576,Gujarat,Narmada,21.70666386292833,73.68403208722742,960.56,62.74
488,1551019,805707,745312,1118276,10257,Gujarat,Bharuch,21.75787276237761,72.67326346710801,925.04,72.1
489,228291,113821,114470,140968,137,Gujarat,The Dangs,20.801633877551023,73.6883518367347,1005.7,61.75
490,1329672,678165,651507,1001909,6726,Gujarat,Navsari,20.866973318871995,72.86184869848157,960.69,75.35
491,1705678,887222,818456,1170657,11020,Gujarat,Valsad,20.44238231644259,72.9148584798345,922.49,68.63
492,6081322,3402224,2679098,4571410,55694,Gujarat,Surat,21.25761372772093,72.93488716344339,787.45,75.17
495,191173,124659,66514,150348,1316,Daman and Diu,Daman,20.431616666666677,72.8392366071429,533.57,78.64
497,1648295,833170,815125,906509,2579,Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,978.34,55.0
498,2050862,1054031,996831,1293916,6065,Maharashtra,Dhule,21.274018690400517,74.58719071837263,945.73,63.09
499,4229917,2197365,2032552,2891882,14297,Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,925.0,68.37
500,2586258,1337560,1248698,1879874,4767,Maharashtra,Buldana,20.56680611183355,76.39017880364096,933.56,72.69
501,1813906,932334,881572,1411281,6163,Maharashtra,Akola,20.746310479041902,77.12122320359276,945.55,77.8
502,1197160,620302,576858,869917,1875,Maharashtra,Washim,20.282282394366213,77.25502394366208,929.96,72.67
503,2888445,1480768,1407677,2251875,9438,Maharashtra,Amravati,21.16520991810736,77.67583503184723,950.64,77.96
504,1300774,668385,632389,1019458,4313,Maharashtra,Wardha,20.80743024390242,78.57259105691062,946.14,78.37
505,4653570,2384975,2268595,3673808,57964,Maharashtra,Nagpur,21.196556862745105,79.02166176470584,951.2,78.95
506,1200334,605520,594814,899860,2932,Maharashtra,Bhandara,21.211792649727748,80.10950199637024,982.32,74.97
507,1322507,661554,660953,1004243,2866,Maharashtra,Gondiya,21.225008411214997,80.17522698598128,999.09,75.93
509,2204307,1123834,1080473,1578615,8239,Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,961.42,71.62
510,2772348,1419965,1352383,2022574,6094,Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,952.41,72.96
511,3361292,1730075,1631217,2189425,7548,Maharashtra,Nanded,19.209316983017,77.6829048951049,942.86,65.14
512,1177345,606294,571051,790743,1221,Maharashtra,Hingoli,19.59525302245251,77.09239412780653,941.87,67.16
513,1836086,942870,893216,1157814,3982,Maharashtra,Parbhani,19.31032425249168,76.70163338870431,947.34,63.06
514,1959046,1011473,947573,1195523,3791,Maharashtra,Jalna,19.984612534818933,75.98473607242339,936.82,61.03
515,3701282,1924469,1776813,2503837,23258,Bihar,Aurangabad,24.774291867469877,84.45986024096379,923.27,67.65
515,3701282,1924469,1776813,2503837,23258,Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,923.27,67.65
516,6107187,3157186,2950001,4345366,45039,Maharashtra,Nashik,20.266912871287143,74.03824168316828,934.38,71.15
517,11060148,5865078,5195070,8227161,256170,Maharashtra,Thane,19.698767747440264,72.79882742564581,885.76,74.39
520,2634200,1344345,1289855,1939994,38570,Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,959.47,73.65
520,2634200,1344345,1289855,1939994,38570,Maharashtra,Raigarh,18.453257637845976,73.0090609418579,959.47,73.65
521,9429408,4924105,4505303,7171723,235018,Maharashtra,Pune,18.51696171428573,74.12922881632647,914.95,76.06
523,2585049,1349106,1235943,1718507,5614,Maharashtra,Bid,18.952353340080982,75.69319706477731,916.12,66.48
524,2454196,1273140,1181056,1650672,6217,Maharashtra,Latur,18.348687268993856,76.75812607802874,927.67,67.26
525,1657576,861535,796041,1137810,3209,Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,923.98,68.64
526,4317756,2227852,2089904,2910676,15145,Maharashtra,Solapur,17.837357937584812,75.42394823609216,938.08,67.41
527,3003741,1510842,1492899,2225694,14093,Maharashtra,Satara,17.6737908974359,74.18052064102558,988.12,74.1
528,1615069,761121,853948,1199392,7752,Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,1121.96,74.26
529,849651,417332,432319,666067,3517,Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,1035.91,78.39
530,3876001,1980658,1895343,2825845,22269,Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,956.93,72.91
531,2822143,1435728,1386415,2049467,13212,Maharashtra,Sangli,17.154930181086502,74.70713822937628,965.65,72.62
532,2741239,1369597,1371642,1483347,5512,Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,1001.49,54.11
533,2551335,1250641,1300694,1389810,5261,Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,1040.02,54.47
534,3776269,1880800,1895469,2206829,8831,Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,1007.8,58.44
535,3033288,1523030,1510258,1637137,8635,Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,991.61,53.97
536,3943323,2018575,1924748,2892155,149034,Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,953.52,73.34
538,4053028,2050386,2002642,1940646,6153,Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,976.71,47.88
539,3488809,1759772,1729037,2001019,7715,Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,982.53,57.36
540,3512576,1759281,1753295,2065023,12952,Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,996.6,58.79
541,2797370,1390988,1406382,1630234,8628,Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,1011.07,58.28
542,2703114,1341738,1361376,1495381,3988,Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,1014.64,55.32
543,2344474,1161477,1182997,1238388,4453,Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,1018.53,52.82
545,5154296,2569688,2584608,3288577,22411,Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,1005.81,63.8
546,3936966,1964918,1972048,2652389,12050,Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,1003.63,67.37
547,4517398,2267375,2250023,3009718,30438,Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,992.35,66.63
548,4887813,2440521,2447292,2960441,19383,Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,1002.77,60.57
549,3397448,1714764,1682684,1904435,6151,Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,981.29,56.05
552,4053463,2039227,2014236,2127161,10081,Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,987.74,52.48
553,4081148,2064495,2016653,2310960,8606,Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,976.83,56.63
554,4174064,2090204,2083860,2667878,13763,Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,996.96,63.92
555,4779661,2423063,2356598,3052032,17560,Karnataka,Belgaum,16.16107219152853,74.72329042357275,972.57,63.85
556,1889752,950111,939641,1113412,3745,Karnataka,Bagalkot,16.15860676328503,75.64526070853468,988.98,58.92
557,2177331,1111022,1066309,1248268,4987,Karnataka,Bijapur,16.84015316666667,75.95909166666665,959.76,57.33
558,1703300,870665,832635,1042673,3971,Karnataka,Bidar,17.950361730769224,77.19459961538459,956.32,61.21
559,1928812,964511,964301,979769,5200,Karnataka,Raichur,16.050795353982295,76.87368606194688,999.78,50.8
560,1389920,699926,689994,809085,2135,Karnataka,Koppal,15.651253271028034,76.1617048598131,985.81,58.21
561,1064570,537147,527423,700177,3373,Karnataka,Gadag,15.507128256880746,75.64861302752298,981.9,65.77
562,1847023,937206,909817,1301664,15013,Karnataka,Dharwad,15.343831376975173,75.13831264108359,970.78,70.47
564,1597668,819128,778540,1085443,2456,Karnataka,Haveri,14.737582809224318,75.3961230607966,950.45,67.94
565,2452595,1236954,1215641,1421621,9626,Karnataka,Bellary,15.074377548209377,76.47228471074374,982.77,57.96
566,1659456,840843,818613,1087392,5711,Karnataka,Chitradurga,14.29102220394736,76.57821957236843,973.56,65.53
567,1945497,986400,959097,1308540,7320,Karnataka,Davanagere,14.330414586709884,75.91723841166937,972.32,67.26
568,1752753,877415,875338,1263016,8791,Karnataka,Shimoga,14.063845885634592,75.17882078103197,997.63,72.06
569,1177361,562131,615230,926429,9070,Karnataka,Udupi,13.450404228534568,74.72009990316337,1094.46,78.69
570,1137961,566622,571339,818345,4510,Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,1008.32,71.91
571,2678980,1350594,1328386,1813391,7971,Karnataka,Tumkur,13.592467760074973,77.02297966260545,983.56,67.69
573,1805769,905085,900684,1149649,3367,Karnataka,Mandya,12.574901806239744,76.81570098522172,995.14,63.67
574,1776421,883667,892754,1225256,4851,Karnataka,Hassan,12.945098749999998,76.11049549999997,1010.28,68.97
576,554519,274608,279911,412877,3308,Karnataka,Kodagu,12.39684468085106,75.79336595744688,1019.31,74.46
577,3001127,1511600,1489527,1962180,28397,Karnataka,Mysore,12.248100259403367,76.52881802853437,985.4,65.38
579,2566326,1301755,1264571,1427368,9752,Karnataka,Gulbarga,17.070459515951594,76.87503850385033,971.44,55.62
581,1536401,776396,760005,1016219,5051,Karnataka,Kolar,13.312799881235172,78.01376947743476,978.89,66.14
583,990923,509172,481751,688749,3729,Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,946.15,69.51
585,818008,416677,401331,663060,23440,Goa,North Goa,15.548723418714054,73.80667997909038,963.17,81.06
586,640537,322463,318074,502427,17624,Goa,South Goa,15.195278658183785,73.941792596877,986.39,78.44
588,1307375,628613,678762,1037492,10378,Kerala,Kasaragod,12.33310309912974,75.07768497134369,1079.78,79.36
589,2523003,1181446,1341557,2138434,32653,Kerala,Kannur,11.941523076923056,75.35209891725934,1135.52,84.76
590,817420,401684,415736,645585,4712,Kerala,Wayanad,11.715277464788736,76.07587007042254,1034.98,78.98
591,3086293,1470942,1615351,2615443,36791,Kerala,Kozhikode,11.392924270557026,75.71158720159153,1098.17,84.74
592,4112920,1960328,2152592,3311315,27909,Kerala,Malappuram,10.97329875666072,75.93910775606876,1098.08,80.51
593,2809934,1359478,1450456,2239492,27162,Kerala,Palakkad,10.784926903553291,76.49980490693744,1066.92,79.7
594,3121200,1480763,1640437,2678548,56148,Kerala,Thrissur,10.458932647907687,76.12321940836945,1107.83,85.82
595,3282388,1619557,1662831,2855676,88737,Kerala,Ernakulam,10.004879301987431,76.26957729035381,1026.72,87.0
596,1108974,552808,556166,923010,8250,Kerala,Idukki,9.80480963855423,77.04586641566264,1006.07,83.23
597,1974551,968289,1006262,1749798,37849,Kerala,Kottayam,9.643701174068417,76.46059673302705,1039.22,88.62
598,2127789,1013142,1114647,1852797,28842,Kerala,Alappuzha,9.542602965599087,76.38010796263319,1100.19,87.08
600,2635375,1246968,1388407,2240273,31542,Kerala,Kollam,8.929388820570157,76.6360775852431,1113.43,85.01
601,3301427,1581678,1719749,2785408,71621,Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,1087.29,84.37
602,3728104,1876062,1852042,2791721,75634,Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,987.2,74.88
603,4646732,2335844,2310888,3776276,217368,Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,989.32,81.27
604,3998252,2012958,1985294,3013382,100322,Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,986.26,75.37
605,3936331,1961688,1974643,2773928,20623,Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,1006.6,70.47
606,2464875,1235889,1228986,1626813,6445,Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,994.41,66.0
608,3482056,1781571,1700485,2285562,20660,Tamil Nadu,Salem,11.629324202127655,78.2478257978723,954.49,65.64
609,1726601,869280,857321,1176131,8960,Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,986.24,68.12
610,2251744,1129868,1121876,1492662,18604,Tamil Nadu,Erode,11.267012155963302,77.42034334862392,992.93,66.29
612,2159775,1080938,1078837,1481834,9155,Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,998.06,68.61
613,1064493,528184,536309,727044,4915,Tamil Nadu,Karur,10.79532776617955,78.08749686847604,1015.38,68.3
615,565223,282157,283066,375823,1507,Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,1003.22,66.49
616,754894,374703,380191,480604,1749,Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,1014.65,63.67
617,2605914,1311697,1294217,1815281,15396,Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,986.67,69.66
618,1616450,798127,818323,1213008,5585,Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,1025.3,75.04
619,1264277,626693,637584,946471,4416,Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,1017.38,74.86
620,2405890,1182416,1223474,1790998,13495,Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,1034.72,74.44
621,1618345,803188,815157,1110545,4494,Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,1014.9,68.62
622,1339101,668672,670429,959744,5773,Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,1002.63,71.67
623,3038252,1526475,1511777,2273430,34097,Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,990.37,74.83
624,1245899,625683,620216,870080,4667,Tamil Nadu,Theni,9.924066666666668,77.43458833333332,991.26,69.84
625,1942288,967709,974579,1398788,10219,Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,1007.1,72.02
626,1353445,682658,670787,978946,5172,Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,982.61,72.33
629,1870374,926345,944029,1548738,15673,Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,1019.09,82.8
630,1506843,774303,732540,917709,3651,Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,946.06,60.9
632,3458045,1729297,1728748,2635907,63273,Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,999.68,76.23
634,55626,27301,28325,39274,207,Puducherry,Yanam,16.707695652173904,82.26187304347832,1037.51,70.6
636,41816,19143,22673,36470,574,Puducherry,Mahe,12.006420793787758,75.28275021570326,1184.4,87.22
637,200222,97809,102413,154916,1868,Puducherry,Karaikal,10.876161726078813,79.82369793621002,1047.07,77.37
